timestamp,average_heart_rate,start_heart_rate,end_heart_rate,hrv_baseline,skin_conductance_levels
2022-05-17 22:16:29+02:00,69.0,70,69,46.56,[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.089942932128906 4.3103928565979 5.85153341293335 6.737667083740234 6.698243141174316 6.82870626449585 4.67309045791626 3.403147459030152 5.700663566589356 6.498132228851318 6.906431674957275 7.090688228607178 7.187048435211182 7.191508293151856 7.175301551818848 7.271592140197754 7.398568153381348 7.451817989349365 7.474546909332275 7.518267631530762 7.600912570953369 7.648321628570557 7.657806396484375 7.665017604827881 7.676568508148193 7.714129447937012 7.802961826324463 7.897481441497803 7.966484069824219 8.001517295837402 8.071821212768555 8.101804733276367 8.107217788696289 8.113121032714844 8.12321662902832 8.134612083435059 8.140067100524902 8.147100448608398 8.152811050415039 8.177876472473145 8.188623428344727 8.194700241088867 8.206463813781738 8.221321105957031 8.292394638061523 8.358360290527344 8.371393203735352 8.37438678741455 8.385185241699219 8.395841598510742 8.398519515991211 8.39499282836914 8.396809577941895 8.39864730834961 8.41010856628418 8.414892196655273 8.419305801391602 8.427591323852539 8.432520866394043 8.434456825256348 8.43161392211914 8.43057632446289 8.450334548950195 8.45637321472168 8.413418769836426 8.41830825805664 8.435686111450195 8.445014953613281 8.452695846557617 8.456315994262695 8.461113929748535 8.466169357299805 8.463594436645508 8.458587646484375 8.47357177734375 8.484045028686523 8.494306564331055 8.504175186157227 8.506610870361328 8.507140159606934 8.520864486694336 8.537519454956055 8.548027038574219 8.561205863952637 8.568323135375977 8.57002067565918 8.571564674377441 8.584505081176758 8.598844528198242 8.612977981567383 8.618379592895508 8.621016502380371 8.622575759887695 8.63115119934082 8.635472297668457 8.635902404785156 0.0 0.0 0.0 0.0 0.0 0.0]
2022-05-18 22:25:38+02:00,72.0,73,72,50.63,[6.7449493408203125 7.765870094299316 7.948873043060303 8.074960708618164 8.147119522094727 8.1620512008667 8.314582824707031 8.432343482971191 8.155130386352539 8.150540351867676 8.517984390258789 8.527369499206543 8.561582565307617 8.59786605834961 8.637701034545898 8.675201416015625 8.709787368774414 8.740300178527832 8.742974281311035 8.750129699707031 8.768719673156738 8.764925956726074 8.74614143371582 8.751287460327148 8.771173477172852 8.774587631225586 8.771450996398926 8.768014907836914 8.763263702392578 8.744586944580078 8.745177268981934 8.61710262298584 8.540684700012207 8.554054260253906 8.596341133117676 8.605295181274414 8.602953910827637 8.607420921325684 8.627649307250977 8.628355026245117 8.624756813049316 8.648249626159668 8.67375373840332 8.688468933105469 8.690873146057129 8.713732719421387 8.75224781036377 8.74736213684082 8.751124382019043 8.789365768432617 8.7572021484375 8.751068115234375 8.75306224822998 8.756851196289062 8.783514022827148 8.79389762878418 8.78674030303955 8.762968063354492 8.744552612304688 8.717545509338379 8.688989639282227 8.692708969116211 8.696916580200195 8.778002738952637 8.767489433288574 8.736608505249023 8.727133750915527 8.716660499572754 8.714997291564941 8.711868286132812 8.702091217041016 8.691104888916016 8.672279357910156 8.671506881713867 8.666707992553711 8.659699440002441 8.660989761352539 8.663079261779785 8.672736167907715 8.6669340133667 8.597797393798828 7.763712882995605 7.4980788230896 7.448307991027832 7.318222999572754 7.2238450050354 7.215062141418457 7.214015007019043 7.226573944091797 7.22766637802124 7.200891971588135 7.211445808410644 7.280609130859375 7.320783138275146 7.313472747802734 7.314852237701416 7.329934120178223 7.349220275878906 7.375263214111328 7.401393890380859 7.442402839660644 7.506829261779785 7.508215427398682 7.541239261627197 7.602787017822266 7.556614875793457 7.482279777526855 7.43413782119751 7.362357139587402 7.386402130126953 7.395936012268066 7.3976240158081055 7.39550256729126 7.390116214752197 7.395777702331543 7.407614231109619 7.416255950927734 7.410931587219238 7.410419464111328 7.422152519226074]
2022-05-20 21:35:34+02:00,NA,72,67,80.39,[0.0 12.462005615234377 10.410791397094728 10.366758346557615 10.260248184204102 9.90430736541748 10.072908401489258 10.133241653442385 10.16477394104004 10.168866157531738 10.169252395629885 10.162946701049805 10.087932586669922 10.05331325531006 10.041399002075195 10.022333145141602 10.00579833984375 9.98423957824707 9.97392463684082 9.96615982055664 9.9553804397583 9.997045516967772 10.075864791870115 10.10157871246338 10.095043182373049 10.079084396362305 10.07046127319336 10.065869331359863 10.066407203674316 10.059431076049805 10.054269790649414 10.053482055664062 10.036538124084473 10.038838386535645 10.055251121520996 10.043996810913086 10.040822982788086 10.059964179992676 10.041452407836914 10.03290843963623 10.018056869506836 9.9969482421875 9.99972438812256 9.98243522644043 9.97588062286377 9.968953132629396 9.958247184753418 9.949506759643556 9.93488597869873 9.925344467163086 9.921076774597168 9.8973970413208 9.884040832519531 9.883084297180176 9.880996704101562 9.871606826782228 9.861106872558594 9.74289894104004 9.78620719909668 9.800503730773926 9.813947677612305 9.808453559875488 9.798645973205566 9.797569274902344 9.796384811401367 9.786872863769531 9.778637886047363 9.769220352172852 9.765310287475586 9.75899887084961 9.747803688049316 9.742406845092772 9.741368293762209 9.73723316192627 9.742612838745115 9.755426406860352 9.76179027557373 9.77420425415039 9.78513526916504 9.830644607543944 9.74810791015625 9.760770797729492 9.778653144836426 9.78988265991211 9.746291160583496 9.76913833618164 9.78915023803711 9.784770965576172 9.788366317749023 9.78977394104004 9.7865629196167 9.782320022583008 9.78923225402832 9.795011520385742 9.805270195007324 9.808794975280762 9.822550773620604 9.79280948638916 9.818263053894045 9.913516998291016 9.959439277648926 9.960782051086426 9.969762802124023 9.95008659362793 9.931330680847168 9.96849250793457 9.977785110473633 9.962857246398926 9.958844184875488 9.96240234375 9.93188190460205 9.86530590057373 9.871278762817385 9.879368782043455 9.893506050109863 9.902542114257812 9.912605285644531 9.926663398742676 9.938852310180664 9.969703674316406]
2022-05-22 00:09:57+02:00,68.0,73,67,97.96,[8.796806335449219 7.448449611663818 7.398989677429199 7.565859794616699 7.700242519378662 7.709776878356934 7.4705400466918945 7.613446712493896 7.745440483093262 7.820899963378906 7.942464351654053 7.9752607345581055 8.019426345825195 8.056853294372559 7.943258762359619 7.913050174713135 7.9387640953063965 7.824045658111572 7.468602180480957 7.89084529876709 8.17442512512207 8.206005096435547 8.21666145324707 8.212055206298828 8.048443794250488 8.119592666625977 8.168540954589844 8.192466735839844 8.237736701965332 8.229206085205078 8.222572326660156 8.225618362426758 8.230020523071289 8.221920013427734 8.218932151794434 8.216238021850586 8.211935043334961 8.226160049438477 8.242241859436035 8.240086555480957 8.219136238098145 8.137425422668457 8.095467567443848 8.112546920776367 8.11255931854248 8.11085319519043 8.135303497314453 8.17894172668457 8.24046802520752 8.294824600219727 8.334012985229492 8.3348388671875 8.366231918334961 8.39188003540039 8.401865005493164 8.399554252624512 8.405278205871582 8.409911155700684 8.416242599487305 8.429983139038086 8.437925338745117 8.437413215637207 8.442553520202637 8.443560600280762 8.447782516479492 8.453740119934082 8.456483840942383 8.22648811340332 8.132905960083008 8.038135528564453 7.8936767578125 7.967326164245605 8.44737720489502 8.527445793151855 8.596931457519531 8.739946365356445 8.809245109558105 8.827606201171875 8.911676406860352 8.979872703552246 9.047526359558104 9.035467147827148 9.036469459533691 9.043904304504396 9.034939765930176 9.064973831176758 9.08359146118164 9.06382942199707 9.126886367797852 9.091835975646973 9.163098335266112 9.214381217956545 9.231634140014648 9.201383590698242 9.198564529418944 9.22887897491455 9.24371337890625 9.248468399047852 9.24574851989746 9.283819198608398 9.22486686706543 9.290946006774902 9.374996185302734 9.443799018859863 9.460626602172852 9.483098983764648 9.486933708190918 9.478460311889648 9.484323501586914 9.488482475280762 9.48228359222412 9.46473217010498 9.414159774780272 9.400827407836914 9.441109657287598 9.619460105895996 10.021690368652344 9.661684036254885 9.696287155151367 9.783608436584473]
2022-05-23 22:02:15+02:00,67.0,72,69,77.09,[5.611191272735596 6.554573059082031 6.799405574798584 7.043041229248047 7.210195064544678 7.34423828125 7.4580397605896 7.545538425445557 7.605711460113525 7.650831699371338 7.722858428955078 7.765379428863525 7.789015769958496 7.814769744873047 7.860997200012207 7.89391565322876 7.916455268859863 7.944501399993896 7.98122501373291 8.015542984008789 8.055910110473633 8.090822219848633 8.125259399414062 8.15898323059082 8.19592571258545 8.225619316101074 8.244905471801758 8.259615898132324 8.279681205749512 8.296403884887695 8.312138557434082 8.331825256347656 8.359930992126465 8.3768310546875 8.37423324584961 8.40121078491211 8.422943115234375 8.433659553527832 8.442975997924805 8.446630477905273 8.44459056854248 8.446688652038574 8.460200309753418 8.47315502166748 8.464488983154297 8.468056678771973 8.475412368774414 8.493910789489746 8.502679824829102 8.509099006652832 8.523894309997559 8.536877632141113 8.540024757385254 8.546015739440918 8.538726806640625 8.534429550170898 8.542678833007812 8.579618453979492 8.596321105957031 8.599510192871094 8.605141639709473 8.611305236816406 8.620611190795898 8.632120132446289 8.638211250305176 8.555278778076172 8.489021301269531 8.486068725585938 8.507241249084473 8.526028633117676 8.537857055664062 8.538166999816895 8.540946006774902 8.548888206481934 8.55247974395752 8.561009407043457 8.564634323120117 8.570154190063477 8.576826095581055 8.665435791015625 8.87762451171875 8.983152389526367 9.013586044311523 9.038070678710938 9.006036758422852 8.877639770507812 8.786476135253906 8.754256248474121 8.749205589294434 8.746177673339844 8.742765426635742 8.737932205200195 8.735757827758789 8.739760398864746 8.746511459350586 8.752565383911133 8.753680229187012 8.755906105041504 8.772189140319824 8.774942398071289 8.767054557800293 8.773625373840332 8.771183967590332 8.760984420776367 8.749225616455078 8.749281883239746 8.747125625610352 8.742685317993164 8.738381385803223 8.732453346252441 8.750288963317871 8.770320892333984 8.775958061218262 8.778315544128418 8.785110473632812 8.784631729125977 8.781265258789062 8.783649444580078 8.784461975097656 0.0]
2022-05-24 23:24:18+02:00,75.0,85,74,82.9,[2.5886871814727783 3.379334688186645 3.2528109550476074 3.153010845184326 3.0889453887939453 3.0527052879333496 3.0516059398651123 3.057666301727295 3.0753543376922607 3.0966269969940186 3.120842218399048 3.146127223968506 3.180102825164795 3.209546566009521 3.2404651641845703 3.273020505905152 3.308452606201172 3.343791961669922 3.3961715698242188 3.4450080394744877 3.5032379627227783 3.5691871643066406 3.631633281707764 3.686676025390625 3.761054992675781 3.834368944168091 3.906101703643799 3.971405744552612 3.981351375579834 3.84857702255249 4.023630619049072 4.112837791442871 4.172604560852051 4.240921497344971 4.297128200531006 4.344353675842285 4.396470069885254 4.439047813415527 4.474344730377197 4.508635997772217 4.540916442871094 4.57849645614624 4.620937824249268 4.646161079406738 4.673146724700928 4.707894325256348 4.737577438354492 4.763264656066895 4.799402236938477 4.834127426147461 4.871462821960449 4.901088237762451 4.92913818359375 4.958287715911865 4.985321044921875 5.017087459564209 5.040669918060303 5.063565254211426 5.085721015930176 5.114438056945801 5.139812469482422 5.158588409423828 5.182384014129639 5.187670707702637 5.183416843414307 5.212325572967529 5.24383020401001 5.243201732635498 5.257445335388184 5.286611557006836 5.307955741882324 5.32970142364502 5.354217052459717 5.366968631744385 5.384683609008789 5.410433769226074 5.459104061126709 5.476141929626465 5.492105960845947 5.510750770568848 5.521592140197754 5.528182506561279 5.537835597991943 5.4239912033081055 5.392407417297363 5.423486709594727 5.455775260925293 5.488377571105957 5.506894111633301 5.515435695648193 5.5128278732299805 5.532290935516357 5.546813488006592 5.582605361938477 5.674857139587402 5.709443092346191 5.731074333190918 5.744651794433594 5.757627964019775 5.77123498916626 5.78422737121582 5.712423801422119 5.170170783996582 5.561343193054199 5.757704734802246 5.854874134063721 5.818013668060303 5.115482807159424 5.25314474105835 5.947544097900391 6.239742755889893 6.266538143157959 6.300655841827393 6.323988437652588 6.354134559631348 6.372349739074707 6.394189834594727 6.41592264175415 6.419615745544434 6.345257759094238]
2022-05-25 22:25:34+02:00,NA,72,68,86.09,[0.0 4.530375480651856 4.317214488983154 3.838944911956787 3.645078182220459 3.485703945159912 3.440427780151367 3.4478001594543457 3.4951186180114746 3.5999138355255127 3.714022397994995 3.750409603118897 3.825695514678955 3.9175236225128174 3.97936487197876 4.036138534545898 4.104398250579834 4.160746574401856 4.229919910430908 4.301844596862793 4.339500427246094 4.335540771484375 4.3278398513793945 4.394090175628662 4.430240631103516 4.477629661560059 4.513981819152832 4.550269603729248 4.6284050941467285 4.658731460571289 4.683469772338867 4.700270175933838 4.748818397521973 4.788018226623535 4.832571029663086 4.858423709869385 4.870477199554443 4.894302368164063 4.924386024475098 4.978995800018311 4.966612815856934 4.941099166870117 4.990126132965088 5.032021999359131 5.078512668609619 5.1082305908203125 5.138018608093262 5.179547309875488 5.186708927154541 5.199091911315918 5.211709022521973 5.244542598724365 5.279162406921387 5.289426803588867 5.312691688537598 5.330986976623535 5.357425689697266 5.245383262634277 5.375845432281494 5.5313568115234375 5.56795597076416 5.568853855133057 5.531367301940918 5.524354457855225 5.560186862945557 5.583317756652832 5.570212364196777 5.59483003616333 5.617822647094727 5.6324872970581055 5.645886898040772 5.670706748962402 5.695400714874268 5.716745853424072 5.729842185974121 5.715350151062012 5.7125444412231445 5.725754737854004 5.652101993560791 5.553337097167969 5.598263740539551 5.715420722961426 5.745005130767822 5.7006659507751465 5.597386360168457 5.572478771209717 5.588475227355957 5.60167407989502 5.624185562133789 5.645398616790772 5.657868385314941 5.680679321289063 5.700982093811035 5.714203834533691 5.725988864898682 5.742239475250244 5.7550458908081055 5.76071834564209 5.766769409179688 5.79473876953125 5.797446250915527 5.792292594909668 5.762344837188721 5.808577537536621 5.835519313812256 5.851451396942139 5.870442390441895 5.885909080505371 5.778162956237793 5.701297760009766 5.741328239440918 5.792697429656982 5.830808162689209 5.838505744934082 5.852641105651856 5.87451696395874 5.895484924316406 5.920732975006104 5.948434352874756 5.972343444824219]
2022-05-26 23:44:22+02:00,83.0,89,87,83.49,[5.358508110046387 5.490874290466309 5.720461368560791 6.006599426269531 6.194246292114258 6.355332374572754 6.512093544006348 6.645829200744629 6.76508092880249 6.884246826171875 6.9758501052856445 7.032253265380859 7.083226203918457 7.147169589996338 7.212821960449219 7.244462013244629 7.281876564025879 7.359108924865723 7.454845428466797 7.525362968444824 7.565399169921875 7.602256774902344 7.624288082122803 7.643621921539307 7.667496681213379 7.693633079528809 7.784111022949219 7.923826694488525 7.952986240386963 7.970137596130371 8.002303123474121 8.015375137329102 8.058930397033691 8.131986618041992 8.164839744567871 8.182863235473633 8.193802833557129 8.204111099243164 8.21837043762207 8.231733322143555 8.242587089538574 8.260931015014648 8.276843070983887 8.284612655639648 8.30183219909668 8.304819107055664 8.321499824523926 8.3363037109375 8.344095230102539 8.34477424621582 8.348669052124023 8.369882583618164 8.383289337158203 8.388665199279785 8.391575813293457 8.395292282104492 8.402261734008789 8.383539199829102 8.387995719909668 8.40074634552002 8.405684471130371 8.410914421081543 8.411652565002441 8.414536476135254 8.422098159790039 8.412477493286133 8.414938926696777 8.4216890335083 8.425562858581543 8.431009292602539 8.437807083129883 8.437708854675293 8.438580513000488 8.43950080871582 8.438127517700195 8.437100410461426 8.436590194702148 8.431056022644043 8.425056457519531 8.420622825622559 8.425633430480957 8.423784255981445 8.423672676086426 8.420576095581055 8.406988143920898 8.40880012512207 8.421513557434082 8.431007385253906 8.423784255981445 8.431098937988281 8.583589553833008 8.885560035705566 9.345063209533691 9.82845687866211 10.270936965942385 10.725421905517578 11.353100776672363 11.946209907531738 12.292074203491213 12.705157279968262 13.0587158203125 13.305201530456545 13.389257431030272 13.28211784362793 13.108617782592772 12.966435432434082 12.856496810913086 12.76686191558838 12.735980987548828 12.717117309570312 12.638383865356444 12.56824016571045 12.539825439453123 12.526300430297852 12.480189323425291 12.459047317504885 12.424070358276367 12.386554718017578 12.3273344039917 12.256996154785156]
2022-05-27 23:06:47+02:00,62.0,69,64,73.43,[4.644798278808594 4.764580726623535 5.483973979949951 5.758547782897949 6.000984191894531 6.154011249542236 6.293053150177002 6.411864280700684 6.515917778015137 6.606659889221191 6.688658714294434 6.7374372482299805 6.809195041656494 6.861428260803223 6.919736385345459 6.969973087310791 7.008402347564697 7.057328224182129 7.092141151428223 7.120019435882568 7.149833679199219 7.182563781738281 7.206649780273437 7.232808113098144 7.25666332244873 7.281326293945312 7.301222801208496 7.327399253845215 7.3521552085876465 7.365968227386475 7.388388156890869 7.409876346588135 7.415290832519531 7.4156904220581055 7.4082489013671875 7.407812595367432 7.434053897857666 7.449322700500488 7.480452537536621 7.492994785308838 7.511411190032959 7.537303924560547 7.554335594177246 7.569838523864746 7.575771331787109 7.587331295013428 7.598336696624756 7.613670349121094 7.6283369064331055 7.538262844085693 7.540897369384766 7.585437774658203 7.63219690322876 7.657734870910644 7.680774688720703 7.6996636390686035 7.719950199127197 7.732022285461426 7.744143009185791 7.766502380371094 7.780104637145996 7.786257266998291 7.800799369812012 7.813643455505371 7.830343723297119 7.840695858001709 7.852656364440918 7.859160423278809 7.862042903900146 7.867121696472168 7.87409496307373 7.882575988769531 7.886833190917969 7.885430812835693 7.886182308197021 7.892234802246094 7.903120517730713 7.909960746765137 7.912246704101562 7.925058841705322 7.9351911544799805 7.9358367919921875 7.940178871154785 7.946252346038818 7.947897911071777 7.855000495910644 7.702181816101074 7.765672206878662 7.794960975646973 7.819225311279297 7.839818477630615 7.855555057525635 7.867469787597656 7.876616477966309 7.887457370758057 7.904641628265381 7.909992218017578 7.917105197906494 7.927826881408691 7.931916236877441 7.93902063369751 0.0 0.0 0.0 0.0 0.0 6.5753350257873535 6.604525089263916 7.070921421051025 7.210222721099853 7.296639919281006 7.350856781005859 7.40588903427124 7.428457736968994 7.441651821136475 7.287912845611572 7.455023288726807 7.682310581207275 7.734545707702637 7.782217502593994]
2022-05-28 22:53:32+02:00,76.0,79,75,91.06,[9.483798027038574 8.803213119506836 8.93104076385498 9.028071403503418 9.086954116821287 9.131479263305664 9.18792724609375 9.220258712768556 9.245256423950195 9.276129722595217 9.304794311523438 9.314906120300291 9.305915832519531 9.306739807128906 9.317464828491213 9.328706741333008 9.334205627441406 9.34789752960205 9.372564315795898 9.3900146484375 9.395235061645508 9.330044746398926 9.23299503326416 9.309782028198242 9.345401763916016 9.37834644317627 9.390698432922363 9.40280055999756 9.398721694946287 9.375103950500488 9.362460136413574 9.35276985168457 9.350175857543944 9.34225845336914 9.35881805419922 9.368927001953123 9.362245559692385 9.36798095703125 9.390332221984863 9.396245956420898 9.393513679504396 9.39409065246582 9.388490676879885 9.388205528259276 9.383583068847656 9.378530502319336 9.371744155883787 9.36064338684082 9.3474702835083 9.32702350616455 9.312298774719238 9.32728385925293 9.378765106201172 9.447402954101562 9.451927185058594 9.476140022277832 9.44997501373291 9.4310302734375 9.471258163452148 9.490354537963867 9.516377449035645 9.529498100280762 9.541975021362305 9.554903984069824 9.560786247253418 9.558219909667969 9.56798267364502 9.57786750793457 9.584383964538574 9.570573806762695 9.592973709106444 9.628107070922852 9.651273727416992 9.664995193481444 9.665281295776367 9.629021644592283 9.59381103515625 9.625536918640137 9.741687774658203 9.858301162719728 9.879446983337402 9.894964218139648 9.89811897277832 9.91409969329834 9.925525665283203 9.925161361694336 9.893841743469238 9.7855806350708 8.922246932983398 7.34102725982666 9.491125106811523 9.928438186645508 10.009130477905272 10.0466947555542 10.054783821105955 10.065193176269531 10.06959342956543 10.061530113220217 10.05724811553955 10.06702709197998 10.03891372680664 9.991317749023438 9.999488830566406 10.015372276306152 10.025439262390137 10.040063858032228 10.03386402130127 10.040417671203612 10.046223640441896 10.035273551940918 10.029382705688477 10.022466659545898 10.10966682434082 10.350239753723145 10.533538818359377 10.6913480758667 10.745216369628906 10.75171184539795 10.76202392578125 10.76684284210205]
